Category,Name,Nodes,Tokens,Lost tokens,Length,Tide,Essence,Ds(L∻T),Ds(L∻E),Ds(T∻E),D(L∻T),D(L∻E),D(T/E),R(T/L),R(E/L),R(E/T),Tokens after,Tokens saved,Tb∻Ta
class,LookupTranslatorTest,137,173,0,1070,838,753,24%,35%,11%,0.2431865828092243,0.3477783872737246,0.10685103708359522,0.7831775700934579,0.7037383177570093,0.8985680190930787,173,0,0%
class,CompositeFormatTest,260,288,0,2163,1629,1484,28%,37%,9.3%,0.28164556962025317,0.3723608445297505,0.09315772566655958,0.753120665742025,0.686084142394822,0.910988336402701,286,2,0.7%
class,StrBuilderAppendInsertTest,6838,9371,0,52009,33387,33233,44%,44%,0.5%,0.43613283994566493,0.44053400905656837,0.00462323626538577,0.6419465861677787,0.6389855601915053,0.9953874262437475,9358,13,0.1%
class,StrTokenizerTest,4361,5850,0,30061,21556,21395,33%,34%,0.7%,0.3295425925567158,0.33683146766169153,0.007496915089287793,0.7170752802634643,0.7117195036758591,0.9925310818333642,5836,14,0.2%
class,StrLookupTest,397,534,0,3279,2517,2207,26%,39%,13%,0.2629399585921325,0.3908129784907036,0.13124470787468248,0.7676120768526989,0.6730710582494663,0.8768375049662296,534,0,0%
class,StrMatcherTest,1105,1600,0,8561,5860,5791,37%,39%,1.2%,0.374592608002219,0.38600891861761427,0.011844476868938289,0.6844994743604719,0.6764396682630534,0.9882252559726963,1600,0,0%
class,ClassPathUtilsTest,400,498,0,3446,2920,2915,17%,17%,0.2%,0.16525290606346213,0.16695488130797045,0.001713796058269066,0.8473592571096924,0.8459082994776552,0.9982876712328768,498,0,0%
class,FractionTest,6900,9406,0,45643,30313,30268,40%,41%,0.1%,0.40365474748538627,0.4050796327277997,0.001485614301513676,0.6641325066275223,0.6631465942203624,0.998515488404315,9277,129,1.4%
class,NumberUtilsTest,9134,12392,0,70752,54187,53187,27%,28%,1.9%,0.26516940266850225,0.2834458887033137,0.01862648313371952,0.765872342831298,0.7517384667571235,0.9815453891154705,12189,203,1.7%
class,IEEE754rUtilsTest,459,616,0,3254,2418,2350,29%,32%,2.9%,0.2947813822284908,0.32262669521770165,0.028523489932885907,0.7430854333128457,0.7221880762138906,0.9718775847808105,616,0,0%
class,BitFieldTest,1425,2032,0,8949,6791,6294,27%,35%,7.6%,0.2742058449809403,0.3483566227120646,0.07596484524264425,0.7588557380712929,0.7033188065705666,0.9268149020762775,2028,4,0.2%
class,StringUtilsTrimStripTest,1370,1934,0,11062,8454,8375,27%,28%,0.9%,0.26726788276286123,0.27648299634717294,0.00938855546972488,0.7642379316579281,0.7570963659374434,0.9906553110953394,1934,0,0%
class,StringUtilsEmptyBlankTest,500,697,0,3576,2900,2820,21%,24%,2.8%,0.20877084620135886,0.23639774859287055,0.027972027972027972,0.8109619686800895,0.7885906040268457,0.9724137931034482,697,0,0%
class,SystemDefaultsSwitchTest,227,285,0,1949,1525,1525,24%,24%,0%,0.24409902130109384,0.24409902130109384,0.0,0.7824525397639815,0.7824525397639815,1.0,261,24,8.8%
@interface,SystemDefaults,26,31,0,479,415,150,14%,105%,94%,0.14317673378076062,1.0461049284578696,0.9380530973451328,0.8663883089770354,0.31315240083507306,0.3614457831325301,31,0,0%
class,SystemDefaultsSwitch,198,252,0,2817,1946,1061,37%,91%,59%,0.3657358807474281,0.9056214543579164,0.5886265380778184,0.6908058217962372,0.3766418175363862,0.5452209660842754,243,9,3.6%
class,NotVisibleExceptionFactory,71,75,0,839,698,432,18%,64%,47%,0.18347430058555628,0.6404405979543666,0.47079646017699117,0.831942789034565,0.5148986889153755,0.6189111747851003,75,0,0%
class,AnnotationUtilsTest,2024,2773,0,17467,9904,9899,55%,55%,0.05%,0.5526286946037777,0.5530950814879778,5.049739938393173E-4,0.5670120799221389,0.5667258258430182,0.9994951534733441,2757,16,0.6%
class,ToStringBuilderTest,6016,7993,0,47072,37105,34561,24%,31%,7.1%,0.23681053019233284,0.3065181972976615,0.07099600926520247,0.7882605370496261,0.7342156696125085,0.9314378116156852,7960,33,0.4%
class,NoClassNameToStringStyleTest,776,1088,0,4862,4067,4009,18%,19%,1.4%,0.17807145257027662,0.19231202795626198,0.014363546310054482,0.8364870423693953,0.8245577951460304,0.9857388738627981,1088,0,0%
class,ReflectionToStringBuilderExcludeTest,526,622,0,4108,3439,3434,18%,18%,0.1%,0.17728898900225254,0.17873243171572528,0.0014549687181725592,0.8371470301850049,0.8359298928919182,0.9985460889793545,622,0,0%
class,SimpleToStringStyleTest,776,1088,0,4721,3906,3825,19%,21%,2.1%,0.18894169467949462,0.20968874327170606,0.020954598370197905,0.8273670832450752,0.810209701334463,0.9792626728110599,1088,0,0%
class,ReflectionToStringBuilderConcurrencyTest,391,448,0,3332,2377,1848,33%,57%,25%,0.33455946750744436,0.572972972972973,0.25041420118343194,0.7133853541416567,0.5546218487394958,0.777450567942785,442,6,1.3%
class,ReflectionToStringBuilderExcludeWithAnnotationTest,114,128,0,1070,909,862,16%,22%,5.3%,0.16270843860535625,0.2153209109730849,0.05307735742518351,0.8495327102803738,0.805607476635514,0.9482948294829483,128,0,0%
class,NoFieldNamesToStringStyleTest,885,1213,0,5427,4518,4431,18%,20%,1.9%,0.18280542986425338,0.202069385270846,0.019443513241702983,0.8325041459369817,0.8164731896075179,0.9807436918990704,1213,0,0%
class,CompareToBuilderTest,9425,12404,-6,50768,38988,38301,26%,28%,1.8%,0.26248941574936496,0.2799402710258339,0.01777743275239685,0.7679640718562875,0.7544319256224393,0.9823791935980302,12073,331,2.7%
class,HashCodeBuilderAndEqualsBuilderTest,477,582,0,4008,2948,2512,30%,46%,16%,0.30477285796434733,0.4588957055214724,0.1597069597069597,0.7355289421157685,0.626746506986028,0.8521031207598372,583,-1,--0.2%
